,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,8392B20CF49E35718D0100000000,8392B20CF49E35718D0100000000,8392B20CF49E35718D0100000000
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0,"0,250997","0,01392","0,546026"
1,"0,008333","0,250994","0,013913","0,546035"
2,"0,016667","0,251","0,013916","0,54602"
3,"0,025","0,250995","0,013913","0,546007"
4,"0,033333","0,250998","0,013912","0,54602"
5,"0,041667","0,251","0,013913","0,546013"
6,"0,05","0,250983","0,01392","0,546007"
7,"0,058333","0,250994","0,013912","0,546012"
8,"0,066667","0,250999","0,013902","0,546027"
9,"0,075","0,250993","0,013914","0,546016"
10,"0,083333","0,25099","0,013924","0,546031"
11,"0,091667","0,251003","0,013921","0,546023"
12,"0,1","0,250995","0,013916","0,546019"
13,"0,108333","0,250986","0,013915","0,546015"
14,"0,116667","0,251009","0,013924","0,546026"
15,"0,125","0,250986","0,013909","0,546027"
16,"0,133333","0,250999","0,013923","0,546032"
17,"0,141667","0,250994","0,013921","0,546017"
18,"0,15","0,251001","0,013914","0,546024"
19,"0,158333","0,250989","0,013915","0,546014"
20,"0,166667","0,250995","0,013914","0,546029"
21,"0,175","0,250979","0,013911","0,546012"
22,"0,183333","0,250998","0,013908","0,546024"
23,"0,191667","0,250997","0,013912","0,546019"
24,"0,2","0,250982","0,01391","0,546023"
25,"0,208333","0,250986","0,013908","0,546022"
26,"0,216667","0,25098","0,013927","0,546016"
27,"0,225","0,250995","0,01391","0,546023"
28,"0,233333","0,250983","0,013906","0,54603"
29,"0,241667","0,250999","0,013913","0,546028"
30,"0,25","0,250994","0,013917","0,546025"
31,"0,258333","0,250998","0,013914","0,546031"
32,"0,266667","0,250992","0,013908","0,546026"
33,"0,275","0,250998","0,013918","0,546026"
34,"0,283333","0,250999","0,013909","0,546025"
35,"0,291667","0,250992","0,013916","0,54603"
36,"0,3","0,250989","0,013918","0,546026"
37,"0,308333","0,250975","0,013917","0,546039"
38,"0,316667","0,251004","0,013915","0,546029"
39,"0,325","0,250983","0,01392","0,546033"
40,"0,333333","0,250978","0,013904","0,546042"
41,"0,341667","0,250992","0,013917","0,546032"
42,"0,35","0,250987","0,013898","0,546025"
43,"0,358333","0,250984","0,013911","0,546025"
44,"0,366667","0,250993","0,013903","0,54603"
45,"0,375","0,250981","0,013907","0,546025"
46,"0,383333","0,250989","0,013915","0,546027"
47,"0,391667","0,250998","0,013911","0,546029"
48,"0,4","0,250997","0,013917","0,546041"
49,"0,408333","0,250987","0,013917","0,546037"
50,"0,416667","0,250983","0,013894","0,546018"
51,"0,425","0,25101","0,013916","0,546032"
52,"0,433333","0,250983","0,013903","0,546019"
53,"0,441667","0,25099","0,013915","0,546029"
54,"0,45","0,250993","0,013908","0,546017"
55,"0,458333","0,251004","0,013906","0,546034"
56,"0,466667","0,251","0,0139","0,546035"
57,"0,475","0,250984","0,013899","0,54603"
58,"0,483333","0,250984","0,013893","0,546024"
59,"0,491667","0,250976","0,01392","0,546019"
60,"0,5","0,250994","0,013905","0,546028"
61,"0,508333","0,250994","0,013914","0,546028"
