Format Version,1.21,Take Name,(3.1),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.25.19 AM,Total Frames in Take,45,Total Exported Frames,45,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,1.557949,0.017502,1.419750
1,0.008333,1.557960,0.017480,1.419749
2,0.016667,1.557938,0.017467,1.419761
3,0.025000,1.557944,0.017486,1.419755
4,0.033333,1.557947,0.017502,1.419752
5,0.041667,1.557958,0.017491,1.419742
6,0.050000,1.557946,0.017480,1.419740
7,0.058333,1.557959,0.017488,1.419743
8,0.066667,1.557957,0.017472,1.419745
9,0.075000,1.557954,0.017486,1.419728
10,0.083333,1.557952,0.017473,1.419741
11,0.091667,1.557964,0.017490,1.419734
12,0.100000,1.557959,0.017476,1.419753
13,0.108333,1.557950,0.017476,1.419735
14,0.116667,1.557949,0.017485,1.419738
15,0.125000,1.557945,0.017464,1.419745
16,0.133333,1.557931,0.017468,1.419745
17,0.141667,1.557945,0.017476,1.419735
18,0.150000,1.557932,0.017482,1.419753
19,0.158333,1.557939,0.017492,1.419742
20,0.166667,1.557946,0.017482,1.419733
21,0.175000,1.557953,0.017486,1.419731
22,0.183333,1.557934,0.017503,1.419741
23,0.191667,1.557951,0.017489,1.419745
24,0.200000,1.557945,0.017472,1.419733
25,0.208333,1.557953,0.017491,1.419726
26,0.216667,1.557930,0.017500,1.419744
27,0.225000,1.557947,0.017500,1.419751
28,0.233333,1.557948,0.017489,1.419740
29,0.241667,1.557952,0.017497,1.419753
30,0.250000,1.557951,0.017492,1.419741
31,0.258333,1.557933,0.017479,1.419752
32,0.266667,1.557949,0.017503,1.419734
33,0.275000,1.557944,0.017493,1.419732
34,0.283333,1.557956,0.017503,1.419727
35,0.291667,1.557953,0.017490,1.419749
36,0.300000,1.557950,0.017483,1.419752
37,0.308333,1.557957,0.017500,1.419734
38,0.316667,1.557935,0.017493,1.419743
39,0.325000,1.557940,0.017489,1.419735
40,0.333333,1.557940,0.017487,1.419748
41,0.341667,1.557939,0.017493,1.419737
42,0.350000,1.557935,0.017479,1.419757
43,0.358333,1.557933,0.017482,1.419746
44,0.366667,1.557949,0.017492,1.419739
